Chromosome	Begin	End	Size	Direction	Feature
chrI	151666	151772	106	NA	<TFC3_<TFC3
chrI	151773	151842	69	-	TFC3
chrI	151843	153280	1437	NA	<TFC3_>NUP60
chrI	153281	154900	1619	+	NUP60
chrI	154901	155088	187	NA	>NUP60_<ERP1
chrI	155089	155748	659	-	ERP1
chrI	155749	156028	279	NA	<ERP1_>SWD1
chrI	156029	157309	1280	+	SWD1
chrI	157310	157777	467	NA	>SWD1_<RFA1
chrI	157778	159643	1865	-	RFA1
chrI	159644	159914	270	NA	<RFA1_>SEN34
chrI	159915	160817	902	+	SEN34
chrI	160818	161620	802	NA	>SEN34_<unannotated
chrI	161621	165089	3468	-	unannotated
chrI	165045	166890	1845	-	unannotated
chrI	165090	165044	-46	NA	<unannotated_<unannotated
chrI	166891	167290	399	NA	<unannotated_>tA(UGC)A
chrI	167291	167363	72	+	tA(UGC)A
chrI	167364	167765	401	NA	>tA(UGC)A_<BUD14
chrI	167766	169895	2129	-	BUD14
chrI	169896	170398	502	NA	<BUD14_>ADE1
chrI	170399	171319	920	+	ADE1
chrI	171320	171419	99	NA	>ADE1_<KIN3
chrI	171420	172727	1307	-	KIN3
chrI	172728	173234	506	NA	<KIN3_<CDC15
chrI	173235	176159	2924	-	CDC15
chrI	176160	177678	1518	NA	<CDC15_<YBL108C-A-like
chrI	177679	177807	128	-	YBL108C-A-like
chrI	177808	177879	71	NA	<YBL108C-A-like_<PAU7
chrI	177880	178047	167	-	PAU7
chrI	178048	180304	2256	NA	<PAU7_<YAR023C
chrI	180305	181009	704	-	YAR023C
chrI	181010	182164	1154	NA	<YAR023C_>tL(CAA)A
chrI	182165	182203	82	+	tL(CAA)A
chrI	182204	182233	29	NA	>tL(CAA)A_intron_>tL(CAA)A
chrI	182234	182278	82	+	tL(CAA)A
chrI	182279	183542	1263	NA	>tL(CAA)A_<tS(AGA)A
chrI	183543	183624	81	-	tS(AGA)A
chrI	183625	184711	1086	NA	<tS(AGA)A_>UIP3
chrI	184712	185497	785	+	UIP3
chrI	185498	185911	413	NA	>UIP3_>YAR028W
chrI	185912	187565	1653	+	YAR028W
chrI	187566	187855	289	NA	>YAR028W_>YAR029W
chrI	187856	188752	896	+	YAR029W
chrI	188753	189126	373	NA	>YAR029W_>MST28
chrI	189127	189831	704	+	MST28
chrI	189832	191212	1380	NA	>MST28_>YAT1
chrI	191213	193276	2063	+	YAT1
chrI	193277	193638	361	NA	>YAT1_>SWH1
chrI	193639	197205	3566	+	SWH1
chrI	197206	208983	11777	NA	>SWH1_>FLO1
chrI	208984	218498	9514	+	FLO1
chrI	218499	228540	10041	NA	>FLO1_>YAR061W
chrI	228541	229643	1102	+	YAR061W
chrI	229644	230696	1052	NA	>YAR061W_>YAR064W
chrI	230697	230996	299	+	YAR064W
chrI	230997	231547	550	NA	>YAR064W_>YAR066W
chrI	231548	233443	1895	+	YAR066W
chrI	233444	236006	2562	NA	>YAR066W_>unannotated
chrI	236007	237353	1346	+	unannotated
chrI	237354	238223	869	NA	>unannotated_>unannotated
chrI	238224	239795	1571	+	unannotated
chrI	239796	241450	1654	NA	>unannotated_>unannotated
chrI	241451	241975	524	+	unannotated
chrI	241959	242267	308	+	unannotated
chrI	241976	241958	-18	NA	>unannotated_>unannotated
chrI	242268	242423	155	NA	>unannotated_>unannotated
chrI	242424	245675	3251	+	unannotated
chrI	245676	245948	272	NA	>unannotated_<unannotated
chrI	245949	246422	473	-	unannotated
chrI	246423	247203	780	NA	<unannotated_>unannotated
chrI	247204	247728	524	+	unannotated
chrI	247712	248020	308	+	YRF1-5
chrI	247729	247711	-18	NA	>unannotated_>YRF1-5
chrI	248021	248196	175	NA	>YRF1-5_>YRF1-4
chrI	248197	251363	3166	+	YRF1-4
chrI	251364	256364	5000	NA	>YRF1-4_endChrI
chrII	0	584	584	NA	beginChrII_<unannotated
chrII	584	2962	2378	-	unannotated
chrII	2963	3210	247	NA	<unannotated_<unannotated
chrII	3211	4083	872	-	unannotated
chrII	4084	4792	708	NA	<unannotated_<unannotated
chrII	4793	5442	649	-	unannotated
chrII	5443	7908	2465	NA	<unannotated_<YBL108C-A
chrII	7909	8346	437	-	YBL108C-A
chrII	8347	9886	1539	NA	<YBL108C-A_>tL(UAA)B1
chrII	9887	9970	83	+	tL(UAA)B1
chrII	9971	10264	293	NA	>tL(UAA)B1_<YBL107C
chrII	10265	10855	590	-	YBL107C
chrII	10856	11150	294	NA	<YBL107C_<SRO77
chrII	11151	14183	3032	-	SRO77
chrII	14184	14544	360	NA	<SRO77_<PKC1
chrII	14545	18000	3455	-	PKC1
chrII	18001	18480	479	NA	<PKC1_<YBL104C
chrII	18481	21729	3248	-	YBL104C
chrII	21730	22379	649	NA	<YBL104C_<RTG3
chrII	22380	23840	1460	-	RTG3
chrII	23841	24401	560	NA	<RTG3_>SFT2
chrII	24402	25049	647	+	SFT2
chrII	25050	25249	199	NA	>SFT2_<unannotated
chrII	25250	25786	536	-	unannotated
chrII	25787	25790	3	NA	<unannotated_<ECM21
chrII	25791	29018	3227	-	ECM21
chrII	29019	31926	2907	NA	<ECM21_>unannotated
chrII	31927	35967	4040	+	unannotated
chrII	35968	37116	1148	NA	>unannotated_>tF(GAA)B
chrII	37117	37154	75	+	tF(GAA)B
chrII	37155	37170	15	NA	>tF(GAA)B_intron_>tF(GAA)B
chrII	37171	37207	75	+	tF(GAA)B
chrII	37208	37771	563	NA	>tF(GAA)B_>ATP1
chrII	37772	39409	1637	+	ATP1
chrII	39410	39863	453	NA	>ATP1_>BNA4
chrII	39864	41246	1382	+	BNA4
chrII	41247	41549	302	NA	>BNA4_>BRN1
chrII	41550	43814	2264	+	BRN1
chrII	43815	43996	181	NA	>BRN1_>YBL095W
chrII	43997	45062	1065	+	YBL095W
chrII	45063	45228	165	NA	>YBL095W_<ROX3
chrII	45229	45891	662	-	ROX3
chrII	45892	46950	1058	NA	<ROX3_>RPL32
chrII	46951	47343	392	+	RPL32
chrII	47344	47537	193	NA	>RPL32_<SCS22
chrII	47538	48032	494	-	SCS22
chrII	48033	48335	302	NA	<SCS22_<MAP2
chrII	48336	49601	1265	-	MAP2
chrII	49602	49797	195	NA	<MAP2_>MRP21
chrII	49798	50331	533	+	MRP21
chrII	50332	50396	64	NA	>MRP21_>AVT5
chrII	50397	51926	1529	+	AVT5
chrII	51927	51991	64	NA	>AVT5_<TEL1
chrII	51992	60355	8363	-	TEL1
chrII	60356	60794	438	NA	<TEL1_<RPL23A
chrII	60795	61166	371	-	RPL23A
chrII	61167	62174	1007	NA	<RPL23A_<YBL086C
chrII	62175	63575	1400	-	YBL086C
chrII	63576	64848	1272	NA	<YBL086C_>BOI1
chrII	64849	67791	2942	+	BOI1
chrII	67792	68141	349	NA	>BOI1_<CDC27
chrII	68142	70418	2276	-	CDC27
chrII	70419	70723	304	NA	<CDC27_<ALG3
chrII	70724	72100	1376	-	ALG3
chrII	72101	72838	737	NA	<ALG3_>YBL081W
chrII	72839	73945	1106	+	YBL081W
chrII	73946	74042	96	NA	>YBL081W_<PET112
chrII	74043	75668	1625	-	PET112
chrII	75669	76231	562	NA	<PET112_>NUP170
chrII	76232	80740	4508	+	NUP170
chrII	80741	81350	609	NA	>NUP170_<ATG8
chrII	81351	81704	353	-	ATG8
chrII	81705	82015	310	NA	<ATG8_<ILS1
chrII	82016	85234	3218	-	ILS1
chrII	85235	85813	578	NA	<ILS1_<SSQ1-like
chrII	85814	87496	1682	-	SSQ1-like
chrII	87497	87694	197	NA	<SSQ1-like_<AAR2
chrII	87695	88762	1067	-	AAR2
chrII	88763	89490	727	NA	<AAR2_<RPS8A
chrII	89491	90093	602	-	RPS8A
chrII	90094	90945	851	NA	<RPS8A_>KTI11
chrII	90946	91194	248	+	KTI11
chrII	91195	91708	513	NA	>KTI11_>AST1
chrII	91709	92998	1289	+	AST1
chrII	92999	93297	298	NA	>AST1_>PRS4
chrII	93298	94362	1064	+	PRS4
chrII	94363	94606	243	NA	>PRS4_<UBP13
chrII	94607	96850	2243	-	UBP13
chrII	96851	97636	785	NA	<UBP13_<SEF1
chrII	97637	101083	3446	-	SEF1
chrII	101084	101338	254	NA	<SEF1_<PRX1
chrII	101339	102124	785	-	PRX1
chrII	102125	102853	728	NA	<PRX1_>KIP1
chrII	102854	106189	3335	+	KIP1
chrII	106190	106283	93	NA	>KIP1_<SKT5
chrII	106284	108374	2090	-	SKT5
chrII	108375	108899	524	NA	<SKT5_>YBL060W
chrII	108900	110963	2063	+	YBL060W
chrII	110964	111092	128	NA	>YBL060W_<YBL059C-A
chrII	111093	111389	296	-	YBL059C-A
chrII	111390	111561	171	NA	<YBL059C-A_>YBL059W
chrII	111562	112212	650	+	YBL059W
chrII	112213	112404	191	NA	>YBL059W_>SHP1
chrII	112405	113676	1271	+	SHP1
chrII	113677	113768	91	NA	>SHP1_<PTH2
chrII	113769	114395	626	-	PTH2
chrII	114396	114729	333	NA	<PTH2_>PTC3
chrII	114730	116136	1406	+	PTC3
chrII	116137	116540	403	NA	>PTC3_<YBL055C
chrII	116541	117797	1256	-	YBL055C
chrII	117798	118556	758	NA	<YBL055C_>YBL054W
chrII	118557	120134	1577	+	YBL054W
chrII	120135	120346	211	NA	>YBL054W_<SAS3
chrII	120347	122842	2495	-	SAS3
chrII	122843	124123	1280	NA	<SAS3_<PIN4
chrII	124124	126130	2006	-	PIN4
chrII	126131	126638	507	NA	<PIN4_>SEC17
chrII	126639	127490	851	+	SEC17
chrII	127491	128198	707	NA	>SEC17_>MOH1
chrII	128199	128615	416	+	MOH1
chrII	128616	129265	649	NA	>MOH1_<EDE1
chrII	129266	133411	4145	-	EDE1
chrII	133412	133794	382	NA	<EDE1_>PSY4
chrII	133795	135120	1325	+	PSY4
chrII	135121	135513	392	NA	>PSY4_<COR1
chrII	135514	136887	1373	-	COR1
chrII	136888	138058	1170	NA	<COR1_>ECM13
chrII	138059	138832	773	+	ECM13
chrII	138833	139709	876	NA	>ECM13_<FUI1
chrII	139710	141629	1919	-	FUI1
chrII	141630	142615	985	NA	<FUI1_>PRE7
chrII	142616	143341	725	+	PRE7
chrII	143342	143480	138	NA	>PRE7_<ERD2
chrII	143481	144119	638	-	ERD2
chrII	144120	144761	641	NA	<ERD2_>YBL039W-B
chrII	144762	144941	179	+	YBL039W-B
chrII	144942	145794	852	NA	>YBL039W-B_<URA7
chrII	145795	147534	1739	-	URA7
chrII	147535	148039	504	NA	<URA7_>MRPL16
chrII	148040	148738	698	+	MRPL16
chrII	148739	149061	322	NA	>MRPL16_>APL3
chrII	149062	152139	3077	+	APL3
chrII	152140	152299	159	NA	>APL3_<YBL036C
chrII	152300	153073	773	-	YBL036C
chrII	153074	153345	271	NA	<YBL036C_<POL12
chrII	153346	155463	2117	-	POL12
chrII	155464	155700	236	NA	<POL12_<STU1
chrII	155701	160242	4541	-	STU1
chrII	160243	160508	265	NA	<STU1_<RIB1
chrII	160509	161546	1037	-	RIB1
chrII	161547	162036	489	NA	<RIB1_>HEK2
chrII	162037	163182	1145	+	HEK2
chrII	163183	163550	367	NA	>HEK2_>SHE1
chrII	163551	164567	1016	+	SHE1
chrII	164568	164892	324	NA	>SHE1_<PET9
chrII	164893	165849	956	-	PET9
chrII	165850	166339	489	NA	<PET9_<YBL029C-A
chrII	166340	166624	284	-	YBL029C-A
chrII	166625	167728	1103	NA	<YBL029C-A_>YBL029W
chrII	167729	169126	1397	+	YBL029W
chrII	169127	169379	252	NA	>YBL029W_<YBL028C
chrII	169380	169700	320	-	YBL028C
chrII	169701	170286	585	NA	<YBL028C_>RPL19B
chrII	170287	170288	568	+	RPL19B
chrII	170289	170672	383	NA	>RPL19B_intron_>RPL19B
chrII	170673	171240	567	+	RPL19B
chrII	171241	171497	256	NA	>RPL19B_<YBL026W-A
chrII	171498	171734	236	-	YBL026W-A
chrII	171735	172467	732	NA	<YBL026W-A_>LSM2
chrII	172468	172521	286	+	LSM2
chrII	172522	172649	127	NA	>LSM2_intron_>LSM2
chrII	172650	172883	286	+	LSM2
chrII	172884	173325	441	NA	>LSM2_>RRN10
chrII	173326	173763	437	+	RRN10
chrII	173764	174377	613	NA	>RRN10_>NCL1
chrII	174378	176426	2048	+	NCL1
chrII	176427	176756	329	NA	>NCL1_<MCM2
chrII	176757	179363	2606	-	MCM2
chrII	179364	179710	346	NA	<MCM2_<PIM1
chrII	179711	183112	3401	-	PIM1
chrII	183113	183496	383	NA	<PIM1_<HAP3
chrII	183497	183931	434	-	HAP3
chrII	183932	184237	305	NA	<HAP3_>RFT1
chrII	184238	185962	1724	+	RFT1
chrII	185963	186189	226	NA	>RFT1_>APN2
chrII	186190	187752	1562	+	APN2
chrII	187753	187834	81	NA	>APN2_<POP8
chrII	187835	188189	400	-	POP8
chrII	188190	188264	74	NA	<POP8_intron_<POP8
chrII	188265	188311	400	-	POP8
chrII	188312	188680	368	NA	<POP8_<PEP1
chrII	188681	193420	4739	-	PEP1
chrII	193421	194287	866	NA	<PEP1_>FUS3
chrII	194288	195349	1061	+	FUS3
chrII	195350	195956	606	NA	>FUS3_>ACH1
chrII	195957	197537	1580	+	ACH1
chrII	197538	199328	1790	NA	>ACH1_>tI(AAU)B
chrII	199329	199402	73	+	tI(AAU)B
chrII	199403	199463	60	NA	>tI(AAU)B_<tG(GCC)B
chrII	199464	199534	70	-	tG(GCC)B
chrII	199535	200898	1363	NA	<tG(GCC)B_<RRN6
chrII	200899	203583	2684	-	RRN6
chrII	203584	203890	306	NA	<RRN6_>FMT1
chrII	203891	205096	1205	+	FMT1
chrII	205097	205372	275	NA	>FMT1_>SCT1
chrII	205373	207652	2279	+	SCT1
chrII	207653	207941	288	NA	>SCT1_<YBL010C
chrII	207942	208784	842	-	YBL010C
chrII	208785	209028	243	NA	<YBL010C_>ALK2
chrII	209029	211059	2030	+	ALK2
chrII	211060	211487	427	NA	>ALK2_>HIR1
chrII	211488	214010	2522	+	HIR1
chrII	214011	214466	455	NA	>HIR1_<SLA1
chrII	214467	218201	3734	-	SLA1
chrII	218202	218421	219	NA	<SLA1_<LDB7
chrII	218422	218964	542	-	LDB7
chrII	218965	219304	339	NA	<LDB7_>PDR3
chrII	219305	222235	2930	+	PDR3
chrII	222236	224465	2229	NA	>PDR3_>Tylikeretrotransposon
chrII	224466	227438	2972	+	Tylikeretrotransposon
chrII	227439	227470	31	NA	>Tylikeretrotransposon_>unannotated
chrII	227471	228397	926	+	unannotated
chrII	228398	228873	475	NA	>unannotated_>tS(AGA)B
chrII	228874	228955	81	+	tS(AGA)B
chrII	228956	229434	478	NA	>tS(AGA)B_>UTP20
chrII	229435	236916	7481	+	UTP20
chrII	236917	237192	275	NA	>UTP20_<HTA2
chrII	237193	237591	398	-	HTA2
chrII	237592	238290	698	NA	<HTA2_>HTB2
chrII	238291	238686	395	+	HTB2
chrII	238687	238951	264	NA	>HTB2_<ECM15
chrII	238952	239266	314	-	ECM15
chrII	239267	240739	1472	NA	<ECM15_<NTH2
chrII	240740	243082	2342	-	NTH2
chrII	243083	243506	423	NA	<NTH2_<RER2
chrII	243507	244367	860	-	RER2
chrII	244368	244607	239	NA	<RER2_>COQ1
chrII	244608	246029	1421	+	COQ1
chrII	246030	246164	134	NA	>COQ1_<GPI18
chrII	246165	247466	1301	-	GPI18
chrII	247467	247704	237	NA	<GPI18_>RCR1
chrII	247705	248346	641	+	RCR1
chrII	248347	248808	461	NA	>RCR1_>UGA2
chrII	248809	250302	1493	+	UGA2
chrII	250303	250604	301	NA	>UGA2_<DSF2
chrII	250605	252815	2210	-	DSF2
chrII	252816	254360	1544	NA	<DSF2_<FLR1
chrII	254361	256007	1646	-	FLR1
chrII	256008	257170	1162	NA	<FLR1_<HHF1
chrII	257171	257482	311	-	HHF1
chrII	257483	258129	646	NA	<HHF1_>HHT1
chrII	258130	258540	410	+	HHT1
chrII	258541	258911	370	NA	>HHT1_<IPP1
chrII	258912	259775	863	-	IPP1
chrII	259776	260921	1145	NA	<IPP1_>tT(AGU)B
chrII	260922	260994	72	+	tT(AGU)B
chrII	260995	261269	274	NA	>tT(AGU)B_<YBR014C
chrII	261270	261881	611	-	YBR014C
chrII	261882	262255	373	NA	<YBR014C_<MNN2
chrII	262256	264049	1793	-	MNN2
chrII	264050	264792	742	NA	<MNN2_>YBR016W
chrII	264793	265191	398	+	YBR016W
chrII	265192	265500	308	NA	>YBR016W_<KAP104
chrII	265501	268260	2759	-	KAP104
chrII	268261	268983	722	NA	<KAP104_<GAL7
chrII	268984	270084	1100	-	GAL7
chrII	270085	270809	724	NA	<GAL7_<GAL10
chrII	270810	272909	2099	-	GAL10
chrII	272910	273577	667	NA	<GAL10_>GAL1
chrII	273578	275164	1586	+	GAL1
chrII	275165	275999	834	NA	>GAL1_>FUR4
chrII	276000	277901	1901	+	FUR4
chrII	277902	278294	392	NA	>FUR4_>POA1
chrII	278295	278828	533	+	POA1
chrII	278829	278984	155	NA	>POA1_<CHS3
chrII	278985	282482	3497	-	CHS3
chrII	282483	284001	1518	NA	<CHS3_>SCO2
chrII	284002	284907	905	+	SCO2
chrII	284908	285237	329	NA	>SCO2_<OLA1
chrII	285238	286422	1184	-	OLA1
chrII	286423	287433	1010	NA	<OLA1_<ETR1
chrII	287434	288576	1142	-	ETR1
chrII	288577	288981	404	NA	<ETR1_<YBR028C
chrII	288982	290559	1577	-	YBR028C
chrII	290560	290924	364	NA	<YBR028C_<CDS1
chrII	290925	292298	1373	-	CDS1
chrII	292299	292847	548	NA	<CDS1_>YBR030W
chrII	292848	294518	1670	+	YBR030W
chrII	294519	294727	208	NA	>YBR030W_>RPL4A
chrII	294728	295816	1088	+	RPL4A
chrII	295817	296505	688	NA	>RPL4A_>EDS1
chrII	296506	299265	2759	+	EDS1
chrII	299266	299491	225	NA	>EDS1_<HMT1
chrII	299492	300538	1046	-	HMT1
chrII	300539	300830	291	NA	<HMT1_<PDX3
chrII	300831	301517	686	-	PDX3
chrII	301518	303641	2123	NA	<PDX3_<CSG2
chrII	303642	304874	1232	-	CSG2
chrII	304875	305125	250	NA	<CSG2_<SCO1
chrII	305126	306013	887	-	SCO1
chrII	306014	306458	444	NA	<SCO1_>CHS2
chrII	306459	309350	2891	+	CHS2
chrII	309351	310135	784	NA	>CHS2_>ATP3
chrII	310136	311071	935	+	ATP3
chrII	311072	311528	456	NA	>ATP3_>FIG1
chrII	311529	312425	896	+	FIG1
chrII	312426	312826	400	NA	>FIG1_>FAT1
chrII	312827	314836	2009	+	FAT1
chrII	314837	314976	139	NA	>FAT1_<CST26
chrII	314977	316170	1193	-	CST26
chrII	316171	316436	265	NA	<CST26_<QDR3
chrII	316437	318506	2069	-	QDR3
chrII	318507	318901	394	NA	<QDR3_<TCM62
chrII	318902	320620	1718	-	TCM62
chrII	320621	321352	731	NA	<TCM62_<tV(UAC)B
chrII	321353	321426	73	-	tV(UAC)B
chrII	321427	322426	999	NA	<tV(UAC)B_<unannotated
chrII	322427	327695	5268	-	unannotated
chrII	327696	328656	960	NA	<unannotated_<GIP1
chrII	328657	330577	1920	-	GIP1
chrII	330578	330992	414	NA	<GIP1_<ZTA1
chrII	330993	331997	1004	-	ZTA1
chrII	331998	332325	327	NA	<ZTA1_<Tylikeretrotransposon
chrII	332326	334170	1844	-	Tylikeretrotransposon
chrII	334171	334349	178	NA	<Tylikeretrotransposon_<unannotated
chrII	334350	335630	1280	-	unannotated
chrII	335631	336591	960	NA	<unannotated_<unannotated
chrII	336592	338511	1919	-	unannotated
chrII	338512	338924	412	NA	<unannotated_<unannotated
chrII	338925	339929	1004	-	unannotated
chrII	339930	340250	320	NA	<unannotated_>YBR047W
chrII	340251	340778	527	+	YBR047W
chrII	340779	341785	1006	NA	>YBR047W_>RPS11B
chrII	341786	342229	443	+	RPS11B
chrII	342230	342801	571	NA	>RPS11B_<REB1
chrII	342802	345234	2432	-	REB1
chrII	345235	345573	338	NA	<REB1_<unannotated
chrII	345574	347493	1919	-	unannotated
chrII	347494	349233	1739	NA	<unannotated_>unannotated
chrII	349234	349761	527	+	unannotated
chrII	349762	351786	2024	NA	>unannotated_<unannotated
chrII	351787	354219	2432	-	unannotated
chrII	354220	354583	363	NA	<unannotated_<REG2
chrII	354584	355600	1016	-	REG2
chrII	355601	356120	519	NA	<REG2_<RFS1
chrII	356121	356753	632	-	RFS1
chrII	356754	357075	321	NA	<RFS1_<YBR053C
chrII	357076	358152	1076	-	YBR053C
chrII	358153	360501	2348	NA	<YBR053C_>YRO2
chrII	360502	361536	1034	+	YRO2
chrII	361537	362002	465	NA	>YRO2_<PRP6
chrII	362003	364702	2699	-	PRP6
chrII	364703	365003	300	NA	<PRP6_>tL(UAA)B2
chrII	365004	365087	83	+	tL(UAA)B2
chrII	365088	365279	191	NA	>tL(UAA)B2_>YBR056W
chrII	365280	366785	1505	+	YBR056W
chrII	366786	368226	1440	NA	>YBR056W_>tQ(UUG)B
chrII	368227	368298	71	+	tQ(UUG)B
chrII	368299	369592	1293	NA	>tQ(UUG)B_<MUM2
chrII	369593	370693	1100	-	MUM2
chrII	370694	371073	379	NA	<MUM2_<UBP14
chrII	371074	373485	2411	-	UBP14
chrII	373486	373725	239	NA	<UBP14_<TSC3
chrII	373726	373968	242	-	TSC3
chrII	373969	374262	293	NA	<TSC3_<AKL1
chrII	374263	377589	3326	-	AKL1
chrII	377590	378053	463	NA	<AKL1_<ORC2
chrII	378054	379916	1862	-	ORC2
chrII	379917	382188	2271	NA	<ORC2_<TRM7
chrII	382189	383121	932	-	TRM7
chrII	383122	383377	255	NA	<TRM7_<YBR062C
chrII	383378	383905	527	-	YBR062C
chrII	383906	384371	465	NA	<YBR062C_<YBR063C
